<TICKER>;<PER>;<DATE>;ОТКРЫТИЕ;МАКСИМУМ;МИНИМУМ;ЗАКРЫТИЕ;<VOL>;<TIME>
SPFB.RTS-12.18;1;04.10.2018;115220;115270;115170;115190;1690;17:15:00
SPFB.RTS-12.18;1;04.10.2018;115180;115180;115070;115150;1737;17:16:00
SPFB.RTS-12.18;1;04.10.2018;115140;115190;115100;115180;945;17:17:00
SPFB.RTS-12.18;1;04.10.2018;115180;115190;115050;115120;1812;17:18:00
SPFB.RTS-12.18;1;04.10.2018;115130;115300;115110;115300;3046;17:19:00
SPFB.RTS-12.18;1;04.10.2018;115290;115350;115230;115270;2632;17:20:00
SPFB.RTS-12.18;1;04.10.2018;115270;115350;115220;115350;734;17:21:00
SPFB.RTS-12.18;1;04.10.2018;115350;115410;115320;115410;985;17:22:00
SPFB.RTS-12.18;1;04.10.2018;115410;115420;115370;115380;1428;17:23:00
SPFB.RTS-12.18;1;04.10.2018;115380;115400;115330;115350;970;17:24:00
SPFB.RTS-12.18;1;04.10.2018;115330;115420;115310;115370;965;17:25:00
SPFB.RTS-12.18;1;04.10.2018;115350;115450;115290;115370;1103;17:26:00
SPFB.RTS-12.18;1;04.10.2018;115380;115460;115360;115420;514;17:27:00
SPFB.RTS-12.18;1;04.10.2018;115420;115490;115390;115430;580;17:28:00
SPFB.RTS-12.18;1;04.10.2018;115440;115530;115390;115510;1065;17:29:00
SPFB.RTS-12.18;1;04.10.2018;115530;115530;115450;115470;577;17:30:00
SPFB.RTS-12.18;1;04.10.2018;115480;115510;115410;115490;539;17:31:00
SPFB.RTS-12.18;1;04.10.2018;115490;115500;115320;115320;712;17:32:00
SPFB.RTS-12.18;1;04.10.2018;115320;115330;115250;115260;820;17:33:00
SPFB.RTS-12.18;1;04.10.2018;115250;115260;115150;115170;1095;17:34:00
SPFB.RTS-12.18;1;04.10.2018;115180;115230;115170;115200;552;17:35:00
SPFB.RTS-12.18;1;04.10.2018;115190;115240;115150;115230;926;17:36:00
SPFB.RTS-12.18;1;04.10.2018;115230;115280;115170;115180;501;17:37:00
SPFB.RTS-12.18;1;04.10.2018;115190;115220;115140;115220;390;17:38:00
SPFB.RTS-12.18;1;04.10.2018;115230;115260;115130;115140;994;17:39:00
SPFB.RTS-12.18;1;04.10.2018;115140;115180;115120;115140;970;17:40:00
SPFB.RTS-12.18;1;04.10.2018;115130;115180;115120;115160;522;17:41:00
SPFB.RTS-12.18;1;04.10.2018;115160;115170;115070;115100;1505;17:42:00
SPFB.RTS-12.18;1;04.10.2018;115100;115160;115080;115150;1578;17:43:00
SPFB.RTS-12.18;1;04.10.2018;115150;115180;115100;115160;1121;17:44:00
SPFB.RTS-12.18;1;04.10.2018;115150;115180;115100;115100;860;17:45:00
SPFB.RTS-12.18;1;04.10.2018;115100;115140;115060;115090;923;17:46:00
SPFB.RTS-12.18;1;04.10.2018;115100;115180;115080;115160;944;17:47:00
SPFB.RTS-12.18;1;04.10.2018;115160;115210;115120;115210;736;17:48:00
SPFB.RTS-12.18;1;04.10.2018;115210;115230;115170;115210;609;17:49:00
SPFB.RTS-12.18;1;04.10.2018;115220;115220;115120;115180;581;17:50:00
SPFB.RTS-12.18;1;04.10.2018;115160;115240;115160;115230;439;17:51:00
SPFB.RTS-12.18;1;04.10.2018;115230;115270;115180;115180;758;17:52:00
SPFB.RTS-12.18;1;04.10.2018;115180;115180;115130;115130;499;17:53:00
SPFB.RTS-12.18;1;04.10.2018;115130;115200;115120;115160;349;17:54:00
SPFB.RTS-12.18;1;04.10.2018;115160;115170;115130;115170;337;17:55:00
SPFB.RTS-12.18;1;04.10.2018;115160;115170;115140;115150;228;17:56:00
SPFB.RTS-12.18;1;04.10.2018;115160;115250;115130;115180;544;17:57:00
SPFB.RTS-12.18;1;04.10.2018;115160;115160;115100;115130;511;17:58:00
SPFB.RTS-12.18;1;04.10.2018;115130;115150;115070;115130;480;17:59:00
SPFB.RTS-12.18;1;04.10.2018;115130;115140;115050;115100;903;18:00:00
SPFB.RTS-12.18;1;04.10.2018;115090;115210;115060;115200;1283;18:01:00
SPFB.RTS-12.18;1;04.10.2018;115190;115300;115150;115290;871;18:02:00
SPFB.RTS-12.18;1;04.10.2018;115290;115350;115270;115310;734;18:03:00
SPFB.RTS-12.18;1;04.10.2018;115310;115360;115260;115350;589;18:04:00
SPFB.RTS-12.18;1;04.10.2018;115360;115420;115330;115410;1076;18:05:00
SPFB.RTS-12.18;1;04.10.2018;115410;115420;115340;115370;691;18:06:00
SPFB.RTS-12.18;1;04.10.2018;115370;115410;115350;115390;608;18:07:00
SPFB.RTS-12.18;1;04.10.2018;115390;115420;115350;115420;508;18:08:00
SPFB.RTS-12.18;1;04.10.2018;115410;115420;115310;115340;1013;18:09:00
SPFB.RTS-12.18;1;04.10.2018;115330;115370;115250;115280;703;18:10:00
SPFB.RTS-12.18;1;04.10.2018;115290;115350;115290;115320;316;18:11:00
SPFB.RTS-12.18;1;04.10.2018;115310;115350;115300;115350;100;18:12:00
SPFB.RTS-12.18;1;04.10.2018;115350;115410;115340;115390;524;18:13:00
SPFB.RTS-12.18;1;04.10.2018;115380;115400;115260;115270;549;18:14:00
SPFB.RTS-12.18;1;04.10.2018;115260;115290;115200;115280;992;18:15:00
SPFB.RTS-12.18;1;04.10.2018;115260;115310;115240;115300;427;18:16:00
SPFB.RTS-12.18;1;04.10.2018;115310;115410;115300;115350;779;18:17:00
SPFB.RTS-12.18;1;04.10.2018;115360;115380;115310;115340;391;18:18:00
SPFB.RTS-12.18;1;04.10.2018;115350;115380;115300;115300;314;18:19:00
SPFB.RTS-12.18;1;04.10.2018;115300;115390;115280;115370;351;18:20:00
SPFB.RTS-12.18;1;04.10.2018;115370;115390;115320;115320;332;18:21:00
SPFB.RTS-12.18;1;04.10.2018;115330;115370;115310;115360;315;18:22:00
SPFB.RTS-12.18;1;04.10.2018;115360;115400;115340;115360;1177;18:23:00
SPFB.RTS-12.18;1;04.10.2018;115360;115400;115340;115370;269;18:24:00
SPFB.RTS-12.18;1;04.10.2018;115370;115570;115360;115550;2904;18:25:00
SPFB.RTS-12.18;1;04.10.2018;115540;115560;115480;115520;966;18:26:00
SPFB.RTS-12.18;1;04.10.2018;115520;115550;115500;115500;812;18:27:00
SPFB.RTS-12.18;1;04.10.2018;115510;115510;115440;115470;579;18:28:00
SPFB.RTS-12.18;1;04.10.2018;115490;115490;115420;115450;345;18:29:00
SPFB.RTS-12.18;1;04.10.2018;115470;115470;115390;115410;478;18:30:00
SPFB.RTS-12.18;1;04.10.2018;115420;115460;115410;115450;573;18:31:00
SPFB.RTS-12.18;1;04.10.2018;115450;115470;115400;115430;579;18:32:00
SPFB.RTS-12.18;1;04.10.2018;115440;115440;115400;115420;389;18:33:00
SPFB.RTS-12.18;1;04.10.2018;115420;115420;115330;115330;958;18:34:00
SPFB.RTS-12.18;1;04.10.2018;115330;115370;115320;115330;758;18:35:00
SPFB.RTS-12.18;1;04.10.2018;115330;115330;115240;115300;771;18:36:00
SPFB.RTS-12.18;1;04.10.2018;115280;115330;115260;115320;239;18:37:00
SPFB.RTS-12.18;1;04.10.2018;115310;115390;115310;115390;647;18:38:00
SPFB.RTS-12.18;1;04.10.2018;115390;115390;115330;115340;1010;18:39:00
SPFB.RTS-12.18;1;04.10.2018;115350;115400;115300;115330;846;18:40:00
SPFB.RTS-12.18;1;04.10.2018;115340;115410;115340;115410;683;18:41:00
SPFB.RTS-12.18;1;04.10.2018;115420;115480;115400;115480;799;18:42:00
SPFB.RTS-12.18;1;04.10.2018;115470;115520;115420;115470;1017;18:43:00
SPFB.RTS-12.18;1;04.10.2018;115470;115510;115430;115480;792;18:44:00
SPFB.RTS-12.18;1;04.10.2018;115480;115510;115430;115430;648;18:45:00
SPFB.RTS-12.18;1;04.10.2018;115390;115390;114930;114980;4312;19:06:00
SPFB.RTS-12.18;1;04.10.2018;114970;115150;114890;115130;1380;19:07:00
SPFB.RTS-12.18;1;04.10.2018;115120;115130;115060;115090;468;19:08:00
SPFB.RTS-12.18;1;04.10.2018;115100;115190;115080;115170;739;19:09:00
SPFB.RTS-12.18;1;04.10.2018;115180;115190;115130;115160;323;19:10:00
SPFB.RTS-12.18;1;04.10.2018;115150;115150;115070;115090;451;19:11:00
SPFB.RTS-12.18;1;04.10.2018;115100;115120;115050;115050;331;19:12:00
SPFB.RTS-12.18;1;04.10.2018;115050;115120;115050;115070;240;19:13:00
SPFB.RTS-12.18;1;04.10.2018;115060;115080;114970;114970;566;19:14:00
SPFB.RTS-12.18;1;04.10.2018;114980;115040;114980;115030;327;19:15:00
SPFB.RTS-12.18;1;04.10.2018;115030;115040;114940;114940;594;19:16:00
SPFB.RTS-12.18;1;04.10.2018;114940;114950;114880;114900;696;19:17:00
SPFB.RTS-12.18;1;04.10.2018;114890;114930;114830;114890;795;19:18:00
SPFB.RTS-12.18;1;04.10.2018;114900;114960;114890;114890;597;19:19:00
SPFB.RTS-12.18;1;04.10.2018;114890;114910;114850;114870;336;19:20:00
SPFB.RTS-12.18;1;04.10.2018;114850;114890;114840;114840;300;19:21:00
SPFB.RTS-12.18;1;04.10.2018;114840;114860;114790;114790;830;19:22:00
SPFB.RTS-12.18;1;04.10.2018;114790;114890;114780;114830;1412;19:23:00
SPFB.RTS-12.18;1;04.10.2018;114830;114860;114800;114830;582;19:24:00
SPFB.RTS-12.18;1;04.10.2018;114830;114830;114770;114780;469;19:25:00
SPFB.RTS-12.18;1;04.10.2018;114790;114800;114750;114770;911;19:26:00
SPFB.RTS-12.18;1;04.10.2018;114770;114800;114710;114720;1115;19:27:00
SPFB.RTS-12.18;1;04.10.2018;114720;114850;114710;114790;825;19:28:00
SPFB.RTS-12.18;1;04.10.2018;114810;114820;114750;114820;644;19:29:00
SPFB.RTS-12.18;1;04.10.2018;114820;114820;114670;114700;1431;19:30:00
SPFB.RTS-12.18;1;04.10.2018;114700;114750;114660;114710;1143;19:31:00
SPFB.RTS-12.18;1;04.10.2018;114720;114790;114710;114770;585;19:32:00
SPFB.RTS-12.18;1;04.10.2018;114760;114840;114760;114820;530;19:33:00
SPFB.RTS-12.18;1;04.10.2018;114820;115010;114810;114890;2071;19:34:00
SPFB.RTS-12.18;1;04.10.2018;114890;114950;114870;114920;261;19:35:00
SPFB.RTS-12.18;1;04.10.2018;114920;115020;114920;114970;537;19:36:00
SPFB.RTS-12.18;1;04.10.2018;114970;114990;114890;114910;404;19:37:00
SPFB.RTS-12.18;1;04.10.2018;114920;114920;114850;114870;574;19:38:00
SPFB.RTS-12.18;1;04.10.2018;114880;114900;114860;114880;275;19:39:00
SPFB.RTS-12.18;1;04.10.2018;114890;114940;114870;114910;475;19:40:00
SPFB.RTS-12.18;1;04.10.2018;114910;114950;114890;114920;385;19:41:00
SPFB.RTS-12.18;1;04.10.2018;114910;114970;114910;114970;241;19:42:00
SPFB.RTS-12.18;1;04.10.2018;114970;114990;114930;114940;246;19:43:00
SPFB.RTS-12.18;1;04.10.2018;114940;114980;114920;114970;103;19:44:00
SPFB.RTS-12.18;1;04.10.2018;114980;114980;114940;114950;236;19:45:00
SPFB.RTS-12.18;1;04.10.2018;114950;115070;114940;114980;1204;19:46:00
SPFB.RTS-12.18;1;04.10.2018;114980;115010;114950;115010;299;19:47:00
SPFB.RTS-12.18;1;04.10.2018;114990;115050;114970;115030;276;19:48:00
SPFB.RTS-12.18;1;04.10.2018;115020;115060;114990;115000;696;19:49:00
SPFB.RTS-12.18;1;04.10.2018;115010;115060;114990;115040;442;19:50:00
SPFB.RTS-12.18;1;04.10.2018;115060;115060;115020;115040;171;19:51:00
SPFB.RTS-12.18;1;04.10.2018;115040;115040;114980;114990;208;19:52:00
SPFB.RTS-12.18;1;04.10.2018;114980;114990;114890;114890;321;19:53:00
SPFB.RTS-12.18;1;04.10.2018;114900;114940;114880;114900;196;19:54:00
SPFB.RTS-12.18;1;04.10.2018;114920;114970;114910;114950;174;19:55:00
SPFB.RTS-12.18;1;04.10.2018;114950;114970;114900;114910;106;19:56:00
SPFB.RTS-12.18;1;04.10.2018;114900;114900;114870;114890;215;19:57:00
SPFB.RTS-12.18;1;04.10.2018;114890;114940;114880;114910;185;19:58:00
SPFB.RTS-12.18;1;04.10.2018;114920;114940;114850;114880;361;19:59:00
SPFB.RTS-12.18;1;04.10.2018;114880;114900;114850;114860;134;20:00:00
SPFB.RTS-12.18;1;04.10.2018;114880;114900;114810;114830;493;20:01:00
SPFB.RTS-12.18;1;04.10.2018;114810;114830;114770;114800;270;20:02:00
SPFB.RTS-12.18;1;04.10.2018;114810;114850;114780;114790;298;20:03:00
SPFB.RTS-12.18;1;04.10.2018;114790;114820;114780;114800;234;20:04:00
SPFB.RTS-12.18;1;04.10.2018;114800;114860;114780;114850;349;20:05:00
SPFB.RTS-12.18;1;04.10.2018;114860;114890;114840;114860;238;20:06:00
SPFB.RTS-12.18;1;04.10.2018;114870;114870;114810;114820;128;20:07:00
SPFB.RTS-12.18;1;04.10.2018;114820;114850;114780;114790;261;20:08:00
SPFB.RTS-12.18;1;04.10.2018;114790;114800;114750;114750;376;20:09:00
SPFB.RTS-12.18;1;04.10.2018;114740;114800;114730;114790;448;20:10:00
SPFB.RTS-12.18;1;04.10.2018;114780;114810;114760;114760;273;20:11:00
SPFB.RTS-12.18;1;04.10.2018;114770;114790;114670;114680;534;20:12:00
SPFB.RTS-12.18;1;04.10.2018;114680;114780;114680;114740;313;20:13:00
SPFB.RTS-12.18;1;04.10.2018;114740;114760;114710;114760;176;20:14:00
SPFB.RTS-12.18;1;04.10.2018;114750;114750;114730;114750;119;20:15:00
SPFB.RTS-12.18;1;04.10.2018;114750;114850;114750;114820;407;20:16:00
SPFB.RTS-12.18;1;04.10.2018;114810;114850;114790;114850;339;20:17:00
SPFB.RTS-12.18;1;04.10.2018;114850;114860;114780;114800;125;20:18:00
SPFB.RTS-12.18;1;04.10.2018;114810;114810;114770;114790;126;20:19:00
SPFB.RTS-12.18;1;04.10.2018;114790;114860;114790;114840;262;20:20:00
SPFB.RTS-12.18;1;04.10.2018;114830;114860;114780;114790;413;20:21:00
SPFB.RTS-12.18;1;04.10.2018;114780;114820;114780;114810;406;20:22:00
SPFB.RTS-12.18;1;04.10.2018;114800;114850;114790;114840;394;20:23:00
SPFB.RTS-12.18;1;04.10.2018;114840;114850;114810;114840;196;20:24:00
SPFB.RTS-12.18;1;04.10.2018;114860;114880;114830;114840;223;20:25:00
SPFB.RTS-12.18;1;04.10.2018;114840;114860;114810;114830;309;20:26:00
SPFB.RTS-12.18;1;04.10.2018;114840;114840;114790;114800;202;20:27:00
SPFB.RTS-12.18;1;04.10.2018;114800;114820;114780;114800;293;20:28:00
SPFB.RTS-12.18;1;04.10.2018;114800;114850;114800;114830;111;20:29:00
SPFB.RTS-12.18;1;04.10.2018;114810;114820;114710;114740;615;20:30:00
SPFB.RTS-12.18;1;04.10.2018;114740;114790;114730;114730;186;20:31:00
SPFB.RTS-12.18;1;04.10.2018;114720;114730;114600;114630;1490;20:32:00
SPFB.RTS-12.18;1;04.10.2018;114620;114660;114600;114600;676;20:33:00
SPFB.RTS-12.18;1;04.10.2018;114600;114620;114560;114590;550;20:34:00
SPFB.RTS-12.18;1;04.10.2018;114580;114650;114560;114630;598;20:35:00
SPFB.RTS-12.18;1;04.10.2018;114640;114650;114550;114550;489;20:36:00
SPFB.RTS-12.18;1;04.10.2018;114560;114590;114550;114580;187;20:37:00
SPFB.RTS-12.18;1;04.10.2018;114570;114590;114560;114580;138;20:38:00
SPFB.RTS-12.18;1;04.10.2018;114580;114620;114580;114580;538;20:39:00
SPFB.RTS-12.18;1;04.10.2018;114590;114600;114550;114550;333;20:40:00
SPFB.RTS-12.18;1;04.10.2018;114560;114590;114550;114560;582;20:41:00
SPFB.RTS-12.18;1;04.10.2018;114560;114590;114550;114590;885;20:42:00
SPFB.RTS-12.18;1;04.10.2018;114570;114620;114570;114580;351;20:43:00
SPFB.RTS-12.18;1;04.10.2018;114580;114630;114560;114630;249;20:44:00
SPFB.RTS-12.18;1;04.10.2018;114620;114710;114610;114690;520;20:45:00
SPFB.RTS-12.18;1;04.10.2018;114690;114700;114600;114630;735;20:46:00
SPFB.RTS-12.18;1;04.10.2018;114630;114670;114610;114640;306;20:47:00
SPFB.RTS-12.18;1;04.10.2018;114640;114640;114600;114610;286;20:48:00
SPFB.RTS-12.18;1;04.10.2018;114620;114640;114600;114610;223;20:49:00
SPFB.RTS-12.18;1;04.10.2018;114610;114610;114550;114580;378;20:50:00
SPFB.RTS-12.18;1;04.10.2018;114580;114590;114550;114560;243;20:51:00
SPFB.RTS-12.18;1;04.10.2018;114570;114590;114530;114580;1358;20:52:00
SPFB.RTS-12.18;1;04.10.2018;114580;114650;114570;114630;878;20:53:00
SPFB.RTS-12.18;1;04.10.2018;114630;114630;114580;114620;313;20:54:00
SPFB.RTS-12.18;1;04.10.2018;114610;114610;114550;114580;396;20:55:00
SPFB.RTS-12.18;1;04.10.2018;114570;114580;114500;114530;737;20:56:00
SPFB.RTS-12.18;1;04.10.2018;114530;114560;114510;114530;314;20:57:00
SPFB.RTS-12.18;1;04.10.2018;114540;114560;114510;114550;158;20:58:00
SPFB.RTS-12.18;1;04.10.2018;114550;114640;114540;114630;344;20:59:00
SPFB.RTS-12.18;1;04.10.2018;114630;114640;114580;114580;326;21:00:00
SPFB.RTS-12.18;1;04.10.2018;114590;114610;114560;114570;310;21:01:00
SPFB.RTS-12.18;1;04.10.2018;114570;114600;114540;114540;310;21:02:00
SPFB.RTS-12.18;1;04.10.2018;114530;114560;114480;114560;734;21:03:00
SPFB.RTS-12.18;1;04.10.2018;114550;114580;114540;114580;145;21:04:00
SPFB.RTS-12.18;1;04.10.2018;114570;114600;114570;114590;133;21:05:00
SPFB.RTS-12.18;1;04.10.2018;114580;114580;114510;114550;247;21:06:00
SPFB.RTS-12.18;1;04.10.2018;114550;114570;114530;114540;64;21:07:00
SPFB.RTS-12.18;1;04.10.2018;114530;114570;114520;114570;128;21:08:00
SPFB.RTS-12.18;1;04.10.2018;114570;114590;114570;114570;94;21:09:00
SPFB.RTS-12.18;1;04.10.2018;114570;114570;114450;114460;598;21:10:00
SPFB.RTS-12.18;1;04.10.2018;114460;114470;114430;114460;334;21:11:00
SPFB.RTS-12.18;1;04.10.2018;114460;114510;114460;114460;440;21:12:00
SPFB.RTS-12.18;1;04.10.2018;114470;114500;114460;114500;166;21:13:00
SPFB.RTS-12.18;1;04.10.2018;114500;114530;114480;114530;137;21:14:00
SPFB.RTS-12.18;1;04.10.2018;114530;114550;114510;114520;161;21:15:00
SPFB.RTS-12.18;1;04.10.2018;114520;114540;114450;114500;340;21:16:00
SPFB.RTS-12.18;1;04.10.2018;114510;114510;114450;114470;176;21:17:00
SPFB.RTS-12.18;1;04.10.2018;114470;114490;114450;114470;95;21:18:00
SPFB.RTS-12.18;1;04.10.2018;114470;114470;114410;114410;635;21:19:00
SPFB.RTS-12.18;1;04.10.2018;114410;114430;114390;114430;338;21:20:00
SPFB.RTS-12.18;1;04.10.2018;114430;114460;114380;114420;596;21:21:00
SPFB.RTS-12.18;1;04.10.2018;114410;114440;114360;114420;812;21:22:00
SPFB.RTS-12.18;1;04.10.2018;114410;114460;114410;114420;467;21:23:00
SPFB.RTS-12.18;1;04.10.2018;114430;114480;114410;114450;395;21:24:00
SPFB.RTS-12.18;1;04.10.2018;114460;114480;114410;114420;386;21:25:00
SPFB.RTS-12.18;1;04.10.2018;114430;114460;114420;114450;358;21:26:00
SPFB.RTS-12.18;1;04.10.2018;114450;114480;114450;114450;203;21:27:00
SPFB.RTS-12.18;1;04.10.2018;114480;114490;114430;114490;252;21:28:00
SPFB.RTS-12.18;1;04.10.2018;114500;114530;114470;114480;294;21:29:00
SPFB.RTS-12.18;1;04.10.2018;114480;114580;114480;114530;454;21:30:00
SPFB.RTS-12.18;1;04.10.2018;114520;114550;114500;114530;150;21:31:00
SPFB.RTS-12.18;1;04.10.2018;114520;114530;114490;114520;135;21:32:00
SPFB.RTS-12.18;1;04.10.2018;114520;114580;114510;114550;189;21:33:00
SPFB.RTS-12.18;1;04.10.2018;114550;114600;114550;114600;307;21:34:00
SPFB.RTS-12.18;1;04.10.2018;114600;114620;114570;114590;257;21:35:00
SPFB.RTS-12.18;1;04.10.2018;114580;114580;114540;114550;205;21:36:00
SPFB.RTS-12.18;1;04.10.2018;114560;114670;114550;114630;809;21:37:00
SPFB.RTS-12.18;1;04.10.2018;114640;114770;114620;114730;1066;21:38:00
SPFB.RTS-12.18;1;04.10.2018;114730;114780;114720;114750;563;21:39:00
SPFB.RTS-12.18;1;04.10.2018;114750;114770;114730;114760;560;21:40:00
SPFB.RTS-12.18;1;04.10.2018;114750;114770;114690;114690;295;21:41:00
SPFB.RTS-12.18;1;04.10.2018;114680;114700;114620;114650;409;21:42:00
SPFB.RTS-12.18;1;04.10.2018;114660;114710;114660;114690;201;21:43:00
SPFB.RTS-12.18;1;04.10.2018;114680;114700;114650;114680;164;21:44:00
SPFB.RTS-12.18;1;04.10.2018;114690;114700;114660;114680;73;21:45:00
SPFB.RTS-12.18;1;04.10.2018;114670;114690;114650;114680;134;21:46:00
SPFB.RTS-12.18;1;04.10.2018;114690;114760;114680;114690;333;21:47:00
SPFB.RTS-12.18;1;04.10.2018;114680;114690;114630;114630;182;21:48:00
SPFB.RTS-12.18;1;04.10.2018;114640;114700;114640;114670;241;21:49:00
SPFB.RTS-12.18;1;04.10.2018;114690;114710;114670;114700;128;21:50:00
SPFB.RTS-12.18;1;04.10.2018;114710;114770;114710;114730;327;21:51:00
SPFB.RTS-12.18;1;04.10.2018;114740;114770;114730;114770;264;21:52:00
SPFB.RTS-12.18;1;04.10.2018;114770;114780;114740;114760;224;21:53:00
SPFB.RTS-12.18;1;04.10.2018;114760;114800;114740;114770;498;21:54:00
SPFB.RTS-12.18;1;04.10.2018;114770;114830;114770;114790;419;21:55:00
SPFB.RTS-12.18;1;04.10.2018;114800;114820;114760;114760;197;21:56:00
SPFB.RTS-12.18;1;04.10.2018;114770;114780;114750;114770;101;21:57:00
SPFB.RTS-12.18;1;04.10.2018;114770;114800;114760;114790;142;21:58:00
SPFB.RTS-12.18;1;04.10.2018;114790;114800;114780;114790;181;21:59:00
SPFB.RTS-12.18;1;04.10.2018;114800;114840;114790;114830;536;22:00:00
SPFB.RTS-12.18;1;04.10.2018;114810;114830;114770;114790;274;22:01:00
SPFB.RTS-12.18;1;04.10.2018;114780;114780;114710;114720;297;22:02:00
SPFB.RTS-12.18;1;04.10.2018;114710;114800;114710;114770;354;22:03:00
SPFB.RTS-12.18;1;04.10.2018;114760;114840;114730;114810;428;22:04:00
SPFB.RTS-12.18;1;04.10.2018;114800;114840;114800;114820;105;22:05:00
SPFB.RTS-12.18;1;04.10.2018;114820;114850;114820;114850;188;22:06:00
SPFB.RTS-12.18;1;04.10.2018;114850;114870;114840;114860;266;22:07:00
SPFB.RTS-12.18;1;04.10.2018;114860;114880;114840;114840;349;22:08:00
SPFB.RTS-12.18;1;04.10.2018;114840;114920;114840;114890;551;22:09:00
SPFB.RTS-12.18;1;04.10.2018;114900;114920;114880;114910;229;22:10:00
SPFB.RTS-12.18;1;04.10.2018;114910;114920;114880;114880;320;22:11:00
SPFB.RTS-12.18;1;04.10.2018;114880;114900;114860;114870;138;22:12:00
SPFB.RTS-12.18;1;04.10.2018;114870;114910;114860;114910;158;22:13:00
SPFB.RTS-12.18;1;04.10.2018;114900;114920;114890;114890;247;22:14:00
SPFB.RTS-12.18;1;04.10.2018;114900;114900;114870;114870;152;22:15:00
SPFB.RTS-12.18;1;04.10.2018;114880;114910;114860;114880;200;22:16:00
SPFB.RTS-12.18;1;04.10.2018;114880;114880;114820;114820;406;22:17:00
SPFB.RTS-12.18;1;04.10.2018;114830;114850;114790;114810;399;22:18:00
SPFB.RTS-12.18;1;04.10.2018;114820;114870;114810;114870;54;22:19:00
SPFB.RTS-12.18;1;04.10.2018;114860;114880;114830;114830;45;22:20:00
SPFB.RTS-12.18;1;04.10.2018;114840;114840;114770;114790;268;22:21:00
SPFB.RTS-12.18;1;04.10.2018;114790;114800;114780;114780;96;22:22:00
SPFB.RTS-12.18;1;04.10.2018;114780;114840;114750;114750;426;22:23:00
SPFB.RTS-12.18;1;04.10.2018;114760;114810;114760;114770;119;22:24:00
SPFB.RTS-12.18;1;04.10.2018;114780;114780;114700;114750;486;22:25:00
SPFB.RTS-12.18;1;04.10.2018;114740;114760;114730;114740;110;22:26:00
SPFB.RTS-12.18;1;04.10.2018;114740;114750;114710;114710;113;22:27:00
SPFB.RTS-12.18;1;04.10.2018;114710;114720;114670;114670;378;22:28:00
SPFB.RTS-12.18;1;04.10.2018;114680;114700;114630;114640;228;22:29:00
SPFB.RTS-12.18;1;04.10.2018;114650;114660;114610;114620;269;22:30:00
SPFB.RTS-12.18;1;04.10.2018;114620;114630;114570;114570;715;22:31:00
SPFB.RTS-12.18;1;04.10.2018;114580;114650;114570;114590;722;22:32:00
SPFB.RTS-12.18;1;04.10.2018;114600;114660;114580;114620;577;22:33:00
SPFB.RTS-12.18;1;04.10.2018;114630;114630;114560;114580;437;22:34:00
SPFB.RTS-12.18;1;04.10.2018;114580;114580;114550;114550;378;22:35:00
SPFB.RTS-12.18;1;04.10.2018;114550;114580;114550;114570;172;22:36:00
SPFB.RTS-12.18;1;04.10.2018;114560;114570;114550;114550;55;22:37:00
SPFB.RTS-12.18;1;04.10.2018;114550;114570;114540;114550;370;22:38:00
SPFB.RTS-12.18;1;04.10.2018;114560;114560;114480;114500;799;22:39:00
SPFB.RTS-12.18;1;04.10.2018;114490;114540;114480;114520;348;22:40:00
SPFB.RTS-12.18;1;04.10.2018;114510;114530;114500;114510;105;22:41:00
SPFB.RTS-12.18;1;04.10.2018;114520;114560;114520;114560;139;22:42:00
SPFB.RTS-12.18;1;04.10.2018;114560;114560;114520;114540;160;22:43:00
SPFB.RTS-12.18;1;04.10.2018;114550;114550;114480;114540;247;22:44:00
SPFB.RTS-12.18;1;04.10.2018;114540;114610;114540;114610;387;22:45:00
SPFB.RTS-12.18;1;04.10.2018;114620;114660;114620;114660;291;22:46:00
SPFB.RTS-12.18;1;04.10.2018;114660;114660;114610;114620;313;22:47:00
SPFB.RTS-12.18;1;04.10.2018;114610;114650;114590;114620;110;22:48:00
SPFB.RTS-12.18;1;04.10.2018;114610;114690;114600;114680;343;22:49:00
SPFB.RTS-12.18;1;04.10.2018;114670;114670;114620;114670;126;22:50:00
SPFB.RTS-12.18;1;04.10.2018;114680;114690;114620;114650;201;22:51:00
SPFB.RTS-12.18;1;04.10.2018;114640;114640;114590;114590;246;22:52:00
SPFB.RTS-12.18;1;04.10.2018;114610;114610;114530;114560;510;22:53:00
SPFB.RTS-12.18;1;04.10.2018;114560;114580;114550;114580;51;22:54:00
SPFB.RTS-12.18;1;04.10.2018;114580;114630;114580;114630;134;22:55:00
SPFB.RTS-12.18;1;04.10.2018;114620;114650;114550;114570;735;22:56:00
SPFB.RTS-12.18;1;04.10.2018;114570;114570;114420;114450;1386;22:57:00
SPFB.RTS-12.18;1;04.10.2018;114450;114470;114410;114450;588;22:58:00
SPFB.RTS-12.18;1;04.10.2018;114460;114480;114360;114400;1222;22:59:00
SPFB.RTS-12.18;1;04.10.2018;114390;114400;114320;114370;987;23:00:00
SPFB.RTS-12.18;1;04.10.2018;114360;114490;114360;114480;505;23:01:00
SPFB.RTS-12.18;1;04.10.2018;114470;114500;114470;114470;191;23:02:00
SPFB.RTS-12.18;1;04.10.2018;114470;114500;114470;114490;68;23:03:00
SPFB.RTS-12.18;1;04.10.2018;114500;114500;114470;114470;47;23:04:00
