<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;04.09.2018;1;1068200;1068800;1068200;1068800;3
SPFB.RTS-12.18;1;04.09.2018;1;1068900;1068900;1068900;1068900;1
SPFB.RTS-12.18;1;04.09.2018;1;1069200;1069200;1069200;1069200;5
SPFB.RTS-12.18;1;04.09.2018;1;1068900;1068900;1068900;1068900;2
SPFB.RTS-12.18;1;04.09.2018;1;1069500;1069500;1069500;1069500;1
SPFB.RTS-12.18;1;04.09.2018;1;1070000;1070000;1070000;1070000;1
SPFB.RTS-12.18;1;04.09.2018;1;1069900;1069900;1069900;1069900;1
SPFB.RTS-12.18;1;04.09.2018;1;1069500;1069500;1069500;1069500;3
SPFB.RTS-12.18;1;04.09.2018;1;1068600;1068600;1068600;1068600;1
SPFB.RTS-12.18;1;04.09.2018;1;1069100;1069100;1069100;1069100;1
SPFB.RTS-12.18;1;04.09.2018;1;1069500;1069500;1069500;1069500;1
SPFB.RTS-12.18;1;04.09.2018;1;1069500;1069500;1068700;1068700;4
SPFB.RTS-12.18;1;04.09.2018;1;1069200;1069200;1069100;1069100;5
SPFB.RTS-12.18;1;04.09.2018;1;1069400;1069400;1069400;1069400;2
SPFB.RTS-12.18;1;04.09.2018;1;1070500;1070500;1070500;1070500;1
SPFB.RTS-12.18;1;04.09.2018;1;1069400;1069400;1069400;1069400;5
SPFB.RTS-12.18;1;04.09.2018;1;1068500;1068500;1068500;1068500;1
SPFB.RTS-12.18;1;04.09.2018;1;1068400;1068400;1067500;1067500;5
SPFB.RTS-12.18;1;04.09.2018;1;1067500;1067500;1067500;1067500;1
SPFB.RTS-12.18;1;04.09.2018;1;1068200;1068200;1068200;1068200;1
SPFB.RTS-12.18;1;04.09.2018;1;1068100;1068100;1068100;1068100;1
SPFB.RTS-12.18;1;04.09.2018;1;1068000;1068000;1068000;1068000;1
SPFB.RTS-12.18;1;04.09.2018;1;1067300;1067300;1067300;1067300;1
SPFB.RTS-12.18;1;04.09.2018;1;1067700;1067700;1067700;1067700;1
SPFB.RTS-12.18;1;04.09.2018;1;1067800;1067800;1067800;1067800;1
SPFB.RTS-12.18;1;04.09.2018;1;1067500;1067500;1067500;1067500;10
